Date,Open,High,Low,Close,Adj Close,Volume
2012-12-07,124.500000,124.959999,124.339996,124.430000,102.610168,4020900
2012-12-10,124.959999,125.080002,124.540001,124.980003,103.063721,2134300
2012-12-11,124.260002,124.309998,123.830002,124.029999,102.280266,3777900
2012-12-12,123.830002,124.339996,122.570000,122.589996,101.092827,7119700
2012-12-13,122.290001,123.180000,122.129997,122.680000,101.167061,6381500
2012-12-14,123.190002,123.709999,123.080002,123.599998,101.925713,3832800
2012-12-17,123.500000,123.519997,121.709999,121.750000,100.400154,6870000
2012-12-18,121.400002,121.779999,119.900002,120.510002,99.377571,12024200
2012-12-19,120.970001,121.650002,120.720001,120.910004,99.707458,4880500
2012-12-20,121.290001,121.639999,120.620003,120.930000,99.723938,4567900
2012-12-21,122.309998,122.430000,121.949997,122.250000,100.812447,6087700
2012-12-24,122.000000,122.080002,121.870003,122.029999,100.631058,1071100
2012-12-26,121.949997,122.209999,121.809998,122.199997,100.992996,2247800
2012-12-27,121.879997,123.290001,121.830002,122.610001,101.331886,4262700
2012-12-28,123.139999,123.339996,122.779999,123.309998,101.910416,3928200
2012-12-31,122.870003,122.970001,120.910004,121.180000,100.150040,6423000
2013-01-02,119.760002,119.900002,119.410004,119.559998,98.811180,7472700
2013-01-03,119.379997,119.489998,117.900002,117.940002,97.472328,10004300
2013-01-04,117.660004,118.440002,117.360001,118.400002,97.852455,9574600
2013-01-07,118.370003,118.730003,118.000000,118.449997,97.893806,4193100
2013-01-08,119.040001,119.290001,118.820000,119.230003,98.538460,4380900
2013-01-09,119.250000,119.540001,118.870003,119.120003,98.447563,3870300
2013-01-10,118.629997,119.300003,118.360001,118.790001,98.174789,5602800
2013-01-11,118.519997,119.860001,118.349998,119.849998,99.050827,4770700
2013-01-14,120.040001,120.279999,119.370003,119.519997,98.778091,3064600
2013-01-15,120.610001,120.699997,119.970001,120.070000,99.232658,5357800
2013-01-16,120.629997,120.680000,120.010002,120.320000,99.439293,4286100
2013-01-17,119.330002,119.550003,118.750000,119.120003,98.447563,7019200
2013-01-18,119.570000,120.209999,119.459999,120.040001,99.207886,4660000
2013-01-22,119.550003,120.300003,119.379997,120.269997,99.397942,3874100
2013-01-23,120.339996,120.580002,119.949997,120.089996,99.249184,2848800
2013-01-24,119.870003,119.970001,119.260002,119.669998,98.902092,4178900
2013-01-25,118.419998,118.599998,117.769997,118.029999,97.546715,8750700
2013-01-28,117.019997,117.720001,117.000000,117.599998,97.191299,6059900
2013-01-29,117.620003,118.080002,116.870003,116.949997,96.654137,5553900
2013-01-30,116.669998,116.959999,116.160004,116.750000,96.488823,9586800
2013-01-31,117.029999,117.339996,116.550003,117.320000,96.959930,6789200
2013-02-01,117.730003,117.849998,115.510002,115.540001,95.700951,10928600
2013-02-04,116.589996,117.279999,116.419998,117.019997,96.926796,9291900
2013-02-05,116.269997,116.430000,115.860001,115.980003,96.065338,6676500
2013-02-06,116.519997,116.970001,116.050003,116.930000,96.852242,5892000
2013-02-07,116.769997,117.589996,116.620003,116.669998,96.636902,5951700
2013-02-08,116.800003,117.160004,116.230003,117.120003,97.009621,5603400
2013-02-11,117.050003,117.379997,116.919998,117.029999,96.935043,3679900
2013-02-12,116.690002,117.019997,116.459999,116.739998,96.694862,4513700
2013-02-13,115.800003,116.269997,115.550003,115.790001,95.907959,6586400
2013-02-14,116.290001,117.040001,115.989998,116.839996,96.777687,7096000
2013-02-15,116.660004,116.739998,116.070000,116.500000,96.496056,5861800
2013-02-19,116.860001,116.900002,115.839996,115.919998,96.015671,7383600
2013-02-20,115.690002,116.370003,115.570000,116.269997,96.305565,9603900
2013-02-21,116.900002,117.309998,116.739998,116.949997,96.868767,8297400
2013-02-22,116.980003,117.339996,116.879997,117.029999,96.935043,5316900
2013-02-25,116.349998,119.349998,116.290001,119.330002,98.840126,15948700
2013-02-26,118.730003,119.669998,118.589996,118.639999,98.268631,9822100
2013-02-27,119.489998,119.540001,118.000000,118.290001,97.978737,7459600
2013-02-28,118.430000,118.660004,117.980003,118.510002,98.160950,6023400
2013-03-01,118.839996,119.209999,118.540001,118.900002,98.695526,7786800
2013-03-04,118.790001,118.970001,118.260002,118.269997,98.172585,4511400
2013-03-05,118.070000,118.199997,117.680000,117.930000,97.890358,6539300
2013-03-06,117.110001,117.500000,116.849998,116.860001,97.002159,6514900
2013-03-07,116.410004,116.510002,115.910004,115.959999,96.255104,8526700
2013-03-08,114.870003,115.360001,114.620003,114.750000,95.250725,15423600
2013-03-11,115.120003,115.230003,114.739998,114.860001,95.342041,5815800
2013-03-12,115.250000,115.790001,115.230003,115.690002,96.030998,9264200
2013-03-13,115.239998,115.739998,115.029999,115.570000,95.931389,7371500
2013-03-14,115.089996,115.639999,114.980003,115.220001,95.640846,9352100
2013-03-15,115.330002,115.879997,115.300003,115.760002,96.089066,9673400
2013-03-18,116.830002,116.879997,116.150002,116.639999,96.819534,9152200
2013-03-19,116.779999,117.889999,116.699997,117.430000,97.475311,11986200
2013-03-20,116.709999,116.989998,116.080002,116.120003,96.387909,8543900
2013-03-21,116.860001,117.250000,116.529999,117.239998,97.317566,6119400
2013-03-22,117.300003,117.500000,116.769997,117.330002,97.392288,6323800
2013-03-25,116.769997,117.779999,116.669998,117.220001,97.300911,5839800
2013-03-26,116.870003,117.910004,116.779999,117.360001,97.417221,5093200
2013-03-27,118.300003,118.769997,118.180000,118.360001,98.247261,7742900
2013-03-28,118.120003,118.449997,117.680000,117.760002,97.749260,5826400
2013-04-01,117.519997,118.419998,117.489998,118.389999,98.485458,6113800
2013-04-02,118.070000,118.139999,117.750000,117.910004,98.086136,5438000
2013-04-03,118.309998,119.290001,118.250000,118.970001,98.967888,9527400
2013-04-04,119.589996,120.410004,119.470001,120.389999,100.149178,9365700
2013-04-05,122.879997,123.430000,122.629997,122.820000,102.170631,18626200
2013-04-08,122.669998,122.870003,121.779999,121.879997,101.388657,8020300
2013-04-09,122.029999,122.239998,121.379997,121.580002,101.139130,7176100
2013-04-10,120.589996,120.660004,119.900002,119.910004,99.749863,10765200
2013-04-11,120.169998,120.489998,119.889999,120.139999,99.941177,7501800
2013-04-12,121.330002,121.940002,120.900002,121.930000,101.430260,9253000
2013-04-15,122.129997,123.029999,121.870003,122.989998,102.312080,12948400
2013-04-16,121.919998,122.519997,121.879997,121.980003,101.471855,6553500
2013-04-17,122.300003,123.529999,122.300003,122.790001,102.145645,9020900
2013-04-18,122.809998,123.220001,122.599998,123.089996,102.395248,7009500
2013-04-19,122.940002,122.980003,122.629997,122.830002,102.178925,5474300
2013-04-22,122.839996,123.290001,122.669998,122.919998,102.253807,4519400
2013-04-23,123.260002,123.790001,122.379997,122.489998,101.896133,8042900
2013-04-24,122.470001,122.820000,122.300003,122.800003,102.153984,3673600
2013-04-25,122.250000,122.370003,122.099998,122.269997,101.713127,4297800
2013-04-26,123.199997,123.510002,123.010002,123.389999,102.644775,4898800
2013-04-29,123.580002,123.730003,122.760002,122.940002,102.270454,4916000
2013-04-30,123.260002,123.690002,122.669998,123.010002,102.328705,4477400
2013-05-01,123.459999,124.260002,123.430000,124.010002,103.379906,10724600
2013-05-02,123.589996,123.970001,123.510002,123.849998,103.246559,4171800
2013-05-03,122.160004,122.190002,120.830002,120.930000,100.812286,11283600
2013-05-06,121.150002,121.250000,120.320000,120.629997,100.562195,5121900
2013-05-07,120.190002,120.500000,120.050003,120.160004,100.170387,5049200
2013-05-08,120.269997,120.830002,120.169998,120.349998,100.328796,5732900
2013-05-09,120.510002,121.320000,119.980003,120.040001,100.070381,7527000
2013-05-10,119.760002,119.790001,117.849998,118.750000,98.994965,11689000
2013-05-13,117.879997,118.190002,117.629997,117.839996,98.236328,8050800
2013-05-14,118.349998,118.440002,116.540001,116.559998,97.169289,9236100
2013-05-15,117.529999,117.720001,116.419998,117.339996,97.819496,14608600
2013-05-16,117.970001,118.940002,117.930000,118.559998,98.836578,8458400
2013-05-17,117.949997,118.150002,116.980003,117.059998,97.586105,7435500
2013-05-20,117.629997,117.669998,116.790001,116.919998,97.469376,5839800
2013-05-21,116.930000,117.870003,116.419998,117.839996,98.236328,7781800
2013-05-22,118.019997,118.550003,115.800003,116.089996,96.777451,18361500
2013-05-23,117.150002,117.239998,115.769997,116.639999,97.235970,9207100
2013-05-24,116.980003,117.419998,116.709999,116.800003,97.369377,5357600
